"Date","Aluminum","Arsenic","Bromine","Calcium","Chlorine","Chromium","Copper","Elemental Carbon","Elemental carbon I","Elemental carbon II","Elemental carbon III","Iron","Lead","Magnesium","Manganese","Nickel","Nitrate","Nitrite","Organic carbon","Organic carbon I","Organic carbon II","Organic carbon III","Organic carbon IV","Phosphorus","Potassium","Pyrolyzed organic carbon","Rubidium","Selenium","Silicon","Sodium","Strontium","Sulfate","Sulfur","Titanium","Vanadium","Zinc","Zirconium","PM25"
"06/20/2019",0.00189,0.00012,0.00092,0.02857,0.16647,0.00078,0.01246,0.19622,0.1633,0.03292,0,0.08845,0.00116,0.01862,0.00163,0.00025,0.32461,NA,0.47425,0.03787,0.11586,0.18406,0.13646,1e-05,0.02082,0,NA,2e-04,0.01879,0.35722,0.00039,0.53663,0.20598,0.00144,0.00018,0.00266,0.00023,3.00244
"06/23/2019",0.00487,0.00037,0.00104,0.02307,0.00535,0.00025,0.00085,0.12505,0.25698,0.03806,0,0.01333,8e-04,0.01498,5e-05,0.00032,0.3945,NA,0.81133,0.02802,0.18006,0.27979,0.15347,0.00225,0.02295,0.16999,0.00038,0.00029,0.01389,0.27649,0.00024,0.75134,0.28806,0.00105,9e-04,0.00222,0.00216,2.99974
"06/26/2019",0.01134,0.00043,0.00103,0.02307,0.0028,0.00235,0.00579,0.26078,0.3109,0.02661,0,0.11693,0.00111,0.00388,0.00263,0.00243,0.22188,0.00352,1.10765,0.08465,0.33422,0.42287,0.18918,1e-05,0.0202,0.07673,NA,0.00011,0.03536,0.03782,8e-05,0.43199,0.17397,0.00305,0.00011,0.00543,9e-04,3.02267
"06/29/2019",0.01009,0.00039,0.00213,0.01746,0.00155,0.00047,0.00201,0.3195,0.41212,0.0478,0,0.03477,0.00088,0.01481,0.00086,0.00089,0.31455,0.00412,1.34877,0.07125,0.33528,0.48096,0.32086,0.00242,0.02746,0.14042,0.00012,0.00047,0.02751,0.10599,6e-04,0.61773,0.24749,0.00168,0.00137,0.00245,0.00158,3.70965
"07/02/2019",0.00515,0.00027,0.00059,0.02514,0.00095,0.00543,0.01238,0.22455,0.23487,0.03839,0,0.0703,0.00166,0.00462,0.00131,0.00046,0.18465,0,0.72764,0.02856,0.18371,0.31838,0.14828,0.00048,0.01522,0.04871,0.00021,0.00038,0.02021,0.04435,0.00052,0.38354,0.14248,0.00206,0.00017,0.00863,0.0015,2.32398
"07/05/2019",0.0517,0.00032,0.00096,0.01695,0.04432,0.00241,0.0281,0.26739,0.44385,0.01372,0,0.02802,0.00141,0.06495,0.00188,0.00032,0.47917,0.00488,1.32889,0.04671,0.36346,0.49143,0.23711,0.00018,0.70396,0.19018,0.00041,0,0.0131,0.04601,0.02243,0.94403,0.30913,0.00375,0.00143,0.00655,0.00067,5.30621
"07/08/2019",0.00614,0,0.00095,0.02297,0.00151,0.00076,0.00449,0.70907,0.74243,0.05375,0,0.06315,0.00103,0.00138,0.00574,0.00328,0.58066,0.00536,1.55556,0.0943,0.54554,0.53043,0.29818,5e-04,0.0297,0.08711,NA,5e-05,0.02262,0.05279,0.00105,0.58917,0.22763,0.00205,0.00151,0.00536,0.00069,4.337
"07/11/2019",0.00347,2e-05,0.00132,0.01853,0.00376,0.00035,0.00235,0.36306,0.42798,0.04637,0,0.04384,0.00081,0.01945,0.00066,0.00037,0.27821,0.0046,0.80698,0.0358,0.28005,0.24968,0.13016,2e-05,0.02543,0.11129,NA,3e-05,0.0109,0.18211,0.00026,0.6783,0.24737,0.00184,0.00018,0.00715,NA,2.86699
"07/14/2019",0.0072,0.00032,0.00173,0.02426,0.00166,9e-05,0.00244,0.34052,0.47124,0.02662,0,0.03069,0.00153,0.01446,0.00055,0.00051,0.28368,0.00469,1.15504,0.08855,0.28795,0.3939,0.2273,2e-05,0.03347,0.15734,5e-05,0.00011,0.01034,0.07752,0.00043,1.02813,0.3794,0.00153,0.00116,0.00242,0.00083,4.15897
"07/17/2019",0.00536,4e-05,0.00029,0.00861,0.00131,0.00014,0.00139,0.15269,0.17144,0.05779,0,0.03599,9e-04,0.00786,0.00084,0.00064,0.0621,0,0.46049,0.0115,0.12825,0.14306,0.10114,1e-05,0.00937,0.07654,NA,NA,0.01314,NA,0.00014,0.32016,0.12462,0.00154,0.00012,0.00362,NA,1.4113
"07/20/2019",0.01265,0,0.00133,0.01818,0.00275,NA,0.002,0.34429,0.45185,0.0417,0,0.03132,0.00087,0.02497,0.00051,0.00074,0.45258,0.00333,1.06436,0.04763,0.26104,0.33563,0.2708,1e-05,0.0217,0.14926,NA,3e-04,0.01203,0.17276,0.00026,0.95392,0.33886,0.00182,0.00197,0.00168,0.00188,3.87596
"07/23/2019",0.01289,6e-05,0.00076,0.03701,0.00269,0.00115,0.00236,0.38985,0.3811,0.03615,0,0.06331,0.0017,0.0161,0.00362,0.00149,0.26048,0.00548,0.7276,0.03208,0.24899,0.27648,0.14265,1e-05,0.01588,0.0274,NA,0.00011,0.0326,0.124,0.00051,0.72884,0.27193,0.00217,0.00031,0.0071,0.00043,3.03494
"07/26/2019",0.01992,0.00037,0.00124,0.02763,0.00395,0.00205,0.00366,0.35739,0.33491,0.02248,0,0.06406,0.00099,0.01356,0.00324,0.00244,0.21393,0.00744,0.99237,0.06222,0.35067,0.32711,0.25237,2e-05,0.02402,0,NA,0.00037,0.04464,0.08998,0.00042,0.59818,0.23281,0.00341,0.00287,0.00479,0.00137,3.11906
