profile_code,assigned_profile
26207C,Industrial Dust
2620810,Industrial
262082.5,Industrial
2620830,Industrial
26208C,Industrial
2620910,Industrial
262092.5,Industrial
2620930,Industrial
26209C,Industrial
2710210,Industrial
271022.5,Industrial
2710230,Industrial
27102C,Industrial
2720110,Cement Manufacturing
272012.5,Cement Manufacturing
2720130,Cement Manufacturing
27201C,Cement Manufacturing
2720310,Coal Combustion
272032.5,Coal Combustion
2720330,Coal Combustion
27203C,Coal Combustion
2720410,Cement Manufacturing
272042.5,Cement Manufacturing
2720430,Cement Manufacturing
27204C,Cement Manufacturing
2720510,Cement Manufacturing
272052.5,Cement Manufacturing
2720530,Cement Manufacturing
27205C,Cement Manufacturing
2750110,Cement Manufacturing
275012.5,Cement Manufacturing
2750130,Cement Manufacturing
27501C,Cement Manufacturing
2750210,Cement Manufacturing
275022.5,Cement Manufacturing
2750230,Cement Manufacturing
27502C,Cement Manufacturing
2750310,Cement Manufacturing
275032.5,Cement Manufacturing
2750330,Cement Manufacturing
27503C,Cement Manufacturing
2750410,Cement Manufacturing
275042.5,Cement Manufacturing
2750430,Cement Manufacturing
27504C,Cement Manufacturing
2760110,Cement Manufacturing
276012.5,Cement Manufacturing
2760130,Cement Manufacturing
27601C,Cement Manufacturing
2760210,Cement Manufacturing
276022.5,Cement Manufacturing
2760230,Cement Manufacturing
27602C,Cement Manufacturing
2820110,Industrial
282012.5,Industrial
2820130,Industrial
28201C,Industrial
2820210,Industrial
282022.5,Industrial
2820230,Industrial
28202C,Industrial
2830110,Industrial
283012.5,Industrial
2830130,Industrial
28301C,Industrial
2830210,Industrial
283022.5,Industrial
2830230,Industrial
28302C,Industrial
2830310,Industrial
283032.5,Industrial
2830330,Industrial
28303C,Industrial
2830410,Industrial
283042.5,Industrial
2830430,Industrial
28304C,Industrial
2830510,Industrial
283052.5,Industrial
2830530,Industrial
28305C,Industrial
2830610,Industrial
283062.5,Industrial
2830630,Industrial
28306C,Industrial
2830710,Industrial
283072.5,Industrial
2830730,Industrial
28307C,Industrial
2840110,Industrial
284012.5,Industrial
2840130,Industrial
28401C,Industrial
2860110,Industrial
286012.5,Industrial
2860130,Industrial
28601C,Industrial
2910110,Industrial
291012.5,Industrial
2910130,Industrial
29101C,Industrial
2910210,Industrial
291022.5,Industrial
2910230,Industrial
29102C,Industrial
2920110,Industrial
292012.5,Industrial
2920130,Industrial
29201C,Industrial
2920210,Industrial
292022.5,Industrial
2920230,Industrial
29202C,Industrial
2920310,Industrial
292032.5,Industrial
2920330,Industrial
29203C,Industrial
2920410,Industrial
292042.5,Industrial
2920430,Industrial
29204C,Industrial
2920510,Industrial Dust
292052.5,Industrial Dust
2920530,Industrial Dust
29205C,Industrial Dust
2920610,Industrial Dust
292062.5,Industrial Dust
2920630,Industrial Dust
29206C,Industrial Dust
2920710,Industrial
292072.5,Industrial
2920730,Industrial
29207C,Industrial
2920810,Industrial Dust
292082.5,Industrial Dust
2920830,Industrial Dust
29208C,Industrial Dust
2920910,Industrial
292092.5,Industrial
2920930,Industrial
29209C,Industrial
2921010,Industrial
292102.5,Industrial
2921030,Industrial
29210C,Industrial
2921110,Industrial Dust
292112.5,Industrial Dust
2921130,Industrial Dust
29211C,Industrial Dust
2930110,Industrial
293012.5,Industrial
2930130,Industrial
29301C,Industrial
2930210,Industrial
293022.5,Industrial
2930230,Industrial
29302C,Industrial
2930310,Industrial
293032.5,Industrial
2930330,Industrial
29303C,Industrial
2930410,Industrial
293042.5,Industrial
2930430,Industrial
29304C,Industrial
2930510,Industrial
293052.5,Industrial
2930530,Industrial
29305C,Industrial
2930610,Industrial
293062.5,Industrial
2930630,Industrial
29306C,Industrial
2930710,Industrial
293072.5,Industrial
2930730,Industrial
29307C,Industrial
2930910,Industrial
293092.5,Industrial
2930930,Industrial
29309C,Industrial
2931010,Industrial
293102.5,Industrial
2931030,Industrial
29310C,Industrial
2931110,Industrial
293112.5,Industrial
2931130,Industrial
29311C,Industrial
2933010,Industrial
293302.5,Industrial
2933030,Industrial
29330C,Industrial
2950110,Industrial
295012.5,Industrial
2950130,Industrial
29501C,Industrial
2950210,Industrial
295022.5,Industrial
2950230,Industrial
29502C,Industrial
3110110,Gasoline Vehicle
311012.5,Gasoline Vehicle
3110130,Gasoline Vehicle
31101C,Gasoline Vehicle
3110210,Gasoline Vehicle
311022.5,Gasoline Vehicle
3110230,Gasoline Vehicle
31102C,Gasoline Vehicle
3110310,Gasoline Vehicle
311032.5,Gasoline Vehicle
3110330,Gasoline Vehicle
31103C,Gasoline Vehicle
3110410,Gasoline Vehicle
