profile_code,Aluminum,Arsenic,Bromine,Calcium,Chlorine,Chromium,Copper,Elemental Carbon,Elemental carbon I,Elemental carbon II,Elemental carbon III,Iron,Lead,Magnesium,Manganese,Nickel,Nitrate,Nitrite,Organic carbon,Organic carbon I,Organic carbon II,Organic carbon III,Organic carbon IV,Phosphorus,Potassium,Pyrolyzed organic carbon,Rubidium,Selenium,Silicon,Sodium,Strontium,Sulfate,Sulfur,Titanium,Vanadium,Zinc,Zirconium,assigned_profile
4330510,8.0,0.0,0.0,2.21,0.0,0.009,0.005,1.5,0.0,0.0,0.0,4.72,0.002,1.5,0.085,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,2.66,0.0,0.014,0.0,27.3,0.96,0.03,0.0,0.24,0.46,0.013,0.01,0.0,Soil Dust
433052.5,8.0,0.0,0.0,2.21,0.0,0.009,0.005,1.5,0.0,0.0,0.0,4.72,0.002,1.5,0.085,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,2.66,0.0,0.014,0.0,27.3,0.96,0.03,0.0,0.24,0.46,0.013,0.01,0.0,Soil Dust
4330530,8.0,0.0,0.0,2.21,0.0,0.009,0.005,1.5,0.0,0.0,0.0,4.72,0.002,1.5,0.085,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,2.66,0.0,0.014,0.0,27.3,0.96,0.03,0.0,0.24,0.46,0.013,0.01,0.0,Soil Dust
43305C,8.0,0.0,0.0,2.21,0.0,0.009,0.005,1.5,0.0,0.0,0.0,4.72,0.002,1.5,0.085,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,2.66,0.0,0.014,0.0,27.3,0.96,0.03,0.0,0.24,0.46,0.013,0.01,0.0,Soil Dust
4330610,2.523,0.0,0.0,3.933,0.0,0.0,0.0,1.373,0.0,0.0,0.0,0.981,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,1.087,0.0,0.0,0.0,36.58,0.334,0.0,0.0,0.028,0.15,0.0,0.0,0.0,Soil Dust
433062.5,2.523,0.0,0.0,3.933,0.0,0.0,0.0,1.373,0.0,0.0,0.0,0.981,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,1.087,0.0,0.0,0.0,36.58,0.334,0.0,0.0,0.028,0.15,0.0,0.0,0.0,Soil Dust
4330630,2.523,0.0,0.0,3.933,0.0,0.0,0.0,1.373,0.0,0.0,0.0,0.981,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,1.087,0.0,0.0,0.0,36.58,0.334,0.0,0.0,0.028,0.15,0.0,0.0,0.0,Soil Dust
43306C,2.523,0.0,0.0,3.933,0.0,0.0,0.0,1.373,0.0,0.0,0.0,0.981,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,1.087,0.0,0.0,0.0,36.58,0.334,0.0,0.0,0.028,0.15,0.0,0.0,0.0,Soil Dust
4330710,7.083,0.0,0.0,4.211,0.0,0.0,0.0,2.129,0.0,0.0,0.0,4.042,0.0,1.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,2.374,0.0,0.0,0.0,27.063,0.839,0.0,0.0,0.216,0.341,0.0,0.0,0.0,Soil Dust
433072.5,7.083,0.0,0.0,4.211,0.0,0.0,0.0,2.129,0.0,0.0,0.0,4.042,0.0,1.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,2.374,0.0,0.0,0.0,27.063,0.839,0.0,0.0,0.216,0.341,0.0,0.0,0.0,Soil Dust
