"","PROFILE_CODE","WEIGHT_PERCENT","UNCERTAINTY_PERCENT","SPECIES_NAME","SYMBOL","PROFILE_NAME","PROFILE_TYPE","TOTAL","REGION","CATEGORY_LEVEL_1_Generation_Mechanism","CATEGORY_LEVEL_2_Sector_Equipment","CATEGORY_LEVEL_3_.Fuel_Product"
"276180","8898a",0.242,-99,"Potassium","K","Outdoor Hydronic Heater- one stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276181","8898a",0,-99,"Phosphorus","P","Outdoor Hydronic Heater- one stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276185","8898a",0.0688,-99,"Copper","Cu","Outdoor Hydronic Heater- one stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276186","8898a",0,-99,"Calcium","Ca","Outdoor Hydronic Heater- one stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276191","8898a",0.0632,-99,"Iron","Fe","Outdoor Hydronic Heater- one stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276558","8901a",1.503,-99,"Sulfate","SO4=","Outdoor Hydronic Heater- three stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276571","8901a",0.501,-99,"Sulfur","S","Outdoor Hydronic Heater- three stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276572","8901a",0.275,-99,"Silicon","Si","Outdoor Hydronic Heater- three stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276573","8901a",0.11,-99,"Sodium","Na","Outdoor Hydronic Heater- three stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276575","8901a",2.79,-99,"Potassium","K","Outdoor Hydronic Heater- three stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276580","8901a",3.81,-99,"Iron","Fe","Outdoor Hydronic Heater- three stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276582","8901a",2.88,-99,"Copper","Cu","Outdoor Hydronic Heater- three stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276583","8901a",0,-99,"Calcium","Ca","Outdoor Hydronic Heater- three stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276584","8901a",0,-99,"Zinc","Zn","Outdoor Hydronic Heater- three stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276586","8901a",0,-99,"Phosphorus","P","Outdoor Hydronic Heater- three stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276726","8902a",0.219,-99,"Silicon","Si","Outdoor Hydronic Heater - European Pellet unit- hardwood pellets from sawdust","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Hardwood Pellet"
"276733","8902a",0.719,-99,"Zinc","Zn","Outdoor Hydronic Heater - European Pellet unit- hardwood pellets from sawdust","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Hardwood Pellet"
"276734","8902a",4.23,-99,"Sulfur","S","Outdoor Hydronic Heater - European Pellet unit- hardwood pellets from sawdust","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Hardwood Pellet"
"276736","8902a",0.551,-99,"Sodium","Na","Outdoor Hydronic Heater - European Pellet unit- hardwood pellets from sawdust","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Hardwood Pellet"
"276738","8902a",14,-99,"Potassium","K","Outdoor Hydronic Heater - European Pellet unit- hardwood pellets from sawdust","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Hardwood Pellet"
"276739","8902a",0.0482,-99,"Phosphorus","P","Outdoor Hydronic Heater - European Pellet unit- hardwood pellets from sawdust","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Hardwood Pellet"
"276742","8902a",3.23,-99,"Iron","Fe","Outdoor Hydronic Heater - European Pellet unit- hardwood pellets from sawdust","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Hardwood Pellet"
"276744","8902a",2.49,-99,"Copper","Cu","Outdoor Hydronic Heater - European Pellet unit- hardwood pellets from sawdust","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Hardwood Pellet"
"276745","8902a",0.231,-99,"Calcium","Ca","Outdoor Hydronic Heater - European Pellet unit- hardwood pellets from sawdust","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Hardwood Pellet"
"276747","8902a",12.69,-99,"Sulfate","SO4=","Outdoor Hydronic Heater - European Pellet unit- hardwood pellets from sawdust","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Hardwood Pellet"
"281189","8992",0.945116758,0.242647,"Sulfate","SO4=","Light-duty Gasoline Vehicles Exhaust - Start","PM-AE6",100,"United States","Combustion","Mobile; Onroad; Light Duty","Gasoline"
"281190","8992",0.387693136,0.14255,"Calcium","Ca","Light-duty Gasoline Vehicles Exhaust - Start","PM-AE6",100,"United States","Combustion","Mobile; Onroad; Light Duty","Gasoline"
